id	emotion
34170_0002_A_12	0.005288437940180302,0.0073382011614739895,0.04766351357102394,0.012601824477314949,0.11023299396038055,0.05164452642202377
34170_0002_A_14	0.0020640853326767683,0.0053973011672496796,0.016612142324447632,0.0684765875339508,0.1457582265138626,0.7391905188560486
34170_0003_A_16	0.014404362067580223,0.02241159975528717,0.008364677429199219,0.03274019435048103,0.11226224899291992,0.04006171226501465
34170_0003_A_17	0.034827638417482376,0.009929312393069267,0.035901524126529694,0.19629636406898499,0.21264126896858215,0.9843020439147949
34170_0003_A_18	0.026394976302981377,0.007616939954459667,0.05329279974102974,0.056816138327121735,0.5817936658859253,0.848870038986206
34170_0003_A_20	0.11099372804164886,0.053972065448760986,0.08726081252098083,0.021697161719202995,0.1255212128162384,1.2189302444458008
34170_0003_A_21	0.0062759192660450935,0.015101367607712746,0.01660267636179924,0.04258306324481964,0.18661145865917206,0.14384208619594574
34170_0004_A_24	0.08950883895158768,0.02299409918487072,0.009126091375946999,0.012431392446160316,0.03835387900471687,0.02484883740544319
34170_0004_A_25	1.7819573879241943,0.2415362000465393,0.014196745119988918,0.007276060990989208,0.029160991311073303,0.5456071496009827
34170_0004_A_26	1.2647441625595093,0.310956746339798,0.00950295478105545,0.0079419557005167,0.0259413979947567,0.28342920541763306
34170_0004_A_27	0.025991909205913544,0.015943828970193863,0.014156042598187923,0.00919044204056263,0.0588579922914505,0.029046770185232162
34170_0004_A_28	0.045208923518657684,0.003476819721981883,0.009411949664354324,0.24671238660812378,0.39541399478912354,0.4918561577796936
34170_0005_A_31	0.046338118612766266,1.0232195854187012,0.02451847866177559,0.0076935747638344765,0.023951098322868347,0.02946387603878975
34170_0005_A_33	0.03218916058540344,0.027191413566470146,0.028197716921567917,0.11956831812858582,0.05347226560115814,0.11084432154893875
34170_0005_A_35	0.006331855896860361,0.01584029011428356,0.11201804876327515,0.17170853912830353,0.0795697271823883,0.4397014081478119
34170_0004_A_29	0.018428891897201538,0.0030697649344801903,0.010299686342477798,0.0697183683514595,0.559992790222168,0.6365070343017578
34170_0005_A_34	0.31208980083465576,0.19892123341560364,0.006724594160914421,0.049923621118068695,0.017146036028862,0.34678739309310913
34170_0005_A_36	0.012634357437491417,0.04228305444121361,0.008911588229238987,0.0331510566174984,0.03794026002287865,0.0631178766489029
34170_0005_A_32	0.004685265477746725,0.03975052759051323,0.007032942958176136,0.007782352156937122,0.029100710526108742,0.02409934625029564
34170_0007_A_42	0.009977075271308422,0.009534141048789024,0.0039178794249892235,0.007126237265765667,0.03669550642371178,0.06981994211673737
